Ticker;Model;Maturity;DP(%);Sigma;Mu;H
GET FP Equity;Merton;1;3.917122182173216e-09;0.12746179877535765;0.0530026487513735;0.5
GET FP Equity;Merton;5;0.03268874819220002;0.12902371617962888;0.05489840652428164;0.5
GET FP Equity;Merton;10;0.22693811283653886;0.1329763643677812;0.05813061404417038;0.5
GET FP Equity;Necula;1;5.288337545650279e-08;0.1275680384538203;0.052166164687117135;0.5244273915230637
GET FP Equity;Necula;5;0.05738821052578835;0.12826893638157733;0.05269607733002288;0.5246599245653638
GET FP Equity;Necula;10;0.33244975549417966;0.132379602988255;0.05522615778424802;0.525138281479078
GET FP Equity;Rostek;1;3.316602548153469e-09;0.12756803752926052;0.05216616422752969;0.5244273915473233
GET FP Equity;Rostek;5;0.03654660114166264;0.12824133816733924;0.05269618955749231;0.5246708222257147
GET FP Equity;Rostek;10;0.25929078694093555;0.13229185578013583;0.05524243072177223;0.5251676134112689
LHA GY Equity;Merton;1;7.123120315810638e-06;0.13321872041845803;0.039673897942830355;0.5
LHA GY Equity;Merton;5;0.5702909017341162;0.1407904567190982;0.04355268720887733;0.5
LHA GY Equity;Merton;10;2.795986807304973;0.15298962640403468;0.04928611145194396;0.5
LHA GY Equity;Necula;1;0.00010754088692888075;0.14574071055093815;0.04638607325125757;0.5254402078810292
LHA GY Equity;Necula;5;0.7544625792042958;0.15214095082401652;0.04839902246253022;0.5207419402357082
LHA GY Equity;Necula;10;2.7296449164376124;0.16718026429927754;0.05411439831028553;0.516342026145824
LHA GY Equity;Rostek;1;1.7954804132358504e-05;0.14573471899961304;0.046385794264019925;0.5254584861995416
LHA GY Equity;Rostek;5;0.5937846053594376;0.1519723090627913;0.048395470103999555;0.5207965512382797
LHA GY Equity;Rostek;10;2.4640697814085843;0.16695654245603245;0.05413526505426863;0.5163579796408684
PIA IM Equity;Merton;1;0.0017342470487458073;0.17751570536328867;-0.006896434552222788;0.5
PIA IM Equity;Merton;5;7.966555297200828;0.1835513091171996;-0.004816998141777901;0.5
PIA IM Equity;Merton;10;28.60829330686053;0.19432389285753895;-0.0027028450474804976;0.5
PIA IM Equity;Necula;1;4.022471244979897e-08;0.1443177788627285;-0.008692927536835348;0.45494070822046306
PIA IM Equity;Necula;5;0.5476244262947461;0.1446012088061525;-0.008683343796244136;0.45474596563108666
PIA IM Equity;Necula;10;5.628324918697003;0.1465076808767259;-0.008659936778287587;0.4540489782737401
PIA IM Equity;Rostek;1;2.8197382540007254e-06;0.1443177900998589;-0.008692926805611663;0.45494068639555346
PIA IM Equity;Rostek;5;0.8793689322278753;0.14463114607248026;-0.008690191244329671;0.4547272664335106
PIA IM Equity;Rostek;10;6.663718699427723;0.1465756351288943;-0.008705974952422984;0.45401235976236964
CO FP Equity;Merton;1;1.34828355113914;0.08688771659709309;-0.044837763134135504;0.5
CO FP Equity;Merton;5;57.72298404396723;0.09354796454058062;-0.04584569991407008;0.5
CO FP Equity;Merton;10;89.17170804390821;0.10477362031894732;-0.04941568538129999;0.5
CO FP Equity;Necula;1;0.042730672448032525;0.07020934077452529;-0.04688517975964657;0.43428417666727387
CO FP Equity;Necula;5;50.77253112563079;0.07043567274981599;-0.047240668791897894;0.43202915696412814
CO FP Equity;Necula;10;93.06786785205891;0.07170475281473311;-0.04842640207490866;0.4286576396705575
CO FP Equity;Rostek;1;0.2657870728617451;0.07020707222775796;-0.04688603940654711;0.4342575625780164
CO FP Equity;Rostek;5;51.37878719190905;0.07046529527203298;-0.04731304879226719;0.4317367784492058
CO FP Equity;Rostek;10;92.06690647152438;0.07175432751946814;-0.048561280339390764;0.4283519602194408
